display_name,name,description,parrent,children
ISO -> 01 -> 01.040 -> 01.040.03,01.040.03,"Services. Company organization, management and quality. Administration. Transport. Sociology. (Vocabularies)",ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.07,01.040.07,Natural and applied sciences (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.11,01.040.11,Health care technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.13,01.040.13,Environment. Health protection. Safety (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.17,01.040.17,Metrology and measurement. Physical phenomena (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.19,01.040.19,Testing (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.21,01.040.21,Mechanical systems and components for general use (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.23,01.040.23,Fluid systems and components for general use (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.25,01.040.25,Manufacturing engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.27,01.040.27,Energy and heat transfer engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.31,01.040.31,Electronics (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.33,01.040.33,Telecommunications. Audio and video engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.35,01.040.35,Information technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.37,01.040.37,Image technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.39,01.040.39,Precision mechanics. Jewellery (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.43,01.040.43,Road vehicle engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.45,01.040.45,Railway engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.47,01.040.47,Shipbuilding and marine structures (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.49,01.040.49,Aircraft and space vehicle engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.53,01.040.53,Materials handling equipment (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.55,01.040.55,Packaging and distribution of goods (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.59,01.040.59,Textile and leather technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.61,01.040.61,Clothing industry (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.65,01.040.65,Agriculture (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.67,01.040.67,Food technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.71,01.040.71,Chemical technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.73,01.040.73,Mining and minerals (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.75,01.040.75,Petroleum and related technologies (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.77,01.040.77,Metallurgy (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.79,01.040.79,Wood technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.81,01.040.81,Glass and ceramics industries (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.83,01.040.83,Rubber and plastics industries (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.85,01.040.85,Paper technology (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.87,01.040.87,Paint and colour industries (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.91,01.040.91,Construction materials and building (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.93,01.040.93,Civil engineering (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.040 -> 01.040.97,01.040.97,Domestic and commercial equipment. Entertainment. Sports (Vocabularies),ISO -> 01 -> 01.040,
ISO -> 01 -> 01.060,01.060,Quantities and units,ISO -> 01,
ISO -> 01 -> 01.070,01.070,"Colour codingSafety colours in the context of graphical symbols, see01.080.10",ISO -> 01,
ISO -> 01 -> 01.075,01.075,Character symbols,ISO -> 01,
ISO -> 01 -> 01.080,01.080,Graphical symbols,ISO -> 01,ISO -> 01 -> 01.080 -> 01.080.01
,,,,ISO -> 01 -> 01.080 -> 01.080.10
,,,,ISO -> 01 -> 01.080 -> 01.080.20
,,,,ISO -> 01 -> 01.080 -> 01.080.30
,,,,ISO -> 01 -> 01.080 -> 01.080.40
,,,,ISO -> 01 -> 01.080 -> 01.080.50
,,,,ISO -> 01 -> 01.080 -> 01.080.99
ISO -> 01 -> 01.080 -> 01.080.01,01.080.01,Graphical symbols in general,ISO -> 01 -> 01.080,
ISO -> 01 -> 01.080 -> 01.080.10,01.080.10,"Public information symbols. Signs. Plates. LabelsIncluding safety signs, safety colours, etc.",ISO -> 01 -> 01.080,
ISO -> 01 -> 01.080 -> 01.080.20,01.080.20,Graphical symbols for use on specific equipment,ISO -> 01 -> 01.080,
ISO -> 01 -> 01.080 -> 01.080.30,01.080.30,"Graphical symbols for use on mechanical engineering and construction drawings, diagrams, plans, maps and in relevant technical product documentation",ISO -> 01 -> 01.080,
ISO -> 01 -> 01.080 -> 01.080.40,01.080.40,"Graphical symbols for use on electrical and electronics engineering drawings, diagrams, charts and in relevant technical product documentation",ISO -> 01 -> 01.080,
ISO -> 01 -> 01.080 -> 01.080.50,01.080.50,Graphical symbols for use on information technology and telecommunications technical drawings and in relevant technical product documentation,ISO -> 01 -> 01.080,
ISO -> 01 -> 01.080 -> 01.080.99,01.080.99,Other graphical symbols,ISO -> 01 -> 01.080,
ISO -> 01 -> 01.100,01.100,"Technical drawingsGraphical symbols for use on technical drawings, see01.080.30Computer-aided design, see35.240.10",ISO -> 01,ISO -> 01 -> 01.100 -> 01.100.01
,,,,ISO -> 01 -> 01.100 -> 01.100.20
,,,,ISO -> 01 -> 01.100 -> 01.100.30
,,,,ISO -> 01 -> 01.100 -> 01.100.40
,,,,ISO -> 01 -> 01.100 -> 01.100.99
ISO -> 01 -> 01.100 -> 01.100.01,01.100.01,Technical drawings in general,ISO -> 01 -> 01.100,
ISO -> 01 -> 01.100 -> 01.100.20,01.100.20,Mechanical engineering drawings,ISO -> 01 -> 01.100,
ISO -> 01 -> 01.100 -> 01.100.30,01.100.30,Construction drawingsIncluding civil engineering drawings,ISO -> 01 -> 01.100,
ISO -> 01 -> 01.100 -> 01.100.40,01.100.40,Drawing equipment,ISO -> 01 -> 01.100,
ISO -> 01 -> 01.100 -> 01.100.99,01.100.99,Other standards related to technical drawings,ISO -> 01 -> 01.100,
ISO -> 01 -> 01.110,01.110,"Technical product documentationIncluding rules for preparation of user guides, manuals, product specifications, etc.",ISO -> 01,
ISO -> 01 -> 01.120,01.120,Standardization. General rulesIncluding rules for the preparation of standards catalogues and management of technical documents,ISO -> 01,
ISO -> 01 -> 01.140,01.140,"Information sciences. PublishingInformation technology applications in information, documentation and publishing, see35.240.30",ISO -> 01,ISO -> 01 -> 01.140 -> 01.140.10
,,,,ISO -> 01 -> 01.140 -> 01.140.20
,,,,ISO -> 01 -> 01.140 -> 01.140.30
,,,,ISO -> 01 -> 01.140 -> 01.140.40
ISO -> 01 -> 01.140 -> 01.140.10,01.140.10,"Writing and transliterationCoded character sets for bibliographic information interchange, see35.040.10",ISO -> 01 -> 01.140,
ISO -> 01 -> 01.140 -> 01.140.20,01.140.20,"Information sciencesIncluding documentation, librarianship and archive systems",ISO -> 01 -> 01.140,
ISO -> 01 -> 01.140 -> 01.140.30,01.140.30,"Documents in administration, commerce and industryTechnical product documentation, see01.110Banking documents, see03.060Electronic data interchange (EDI), see35.240.60",ISO -> 01 -> 01.140,
ISO -> 01 -> 01.140 -> 01.140.40,01.140.40,"PublishingElectronic publishing, see35.240.30",ISO -> 01 -> 01.140,
ISO -> 03,03,"Services. Company organization, management and quality. Administration. Transport. Sociology",ISO,ISO -> 03 -> 03.020
,,,,ISO -> 03 -> 03.060
,,,,ISO -> 03 -> 03.080
,,,,ISO -> 03 -> 03.100
,,,,ISO -> 03 -> 03.120
,,,,ISO -> 03 -> 03.140
,,,,ISO -> 03 -> 03.160
,,,,ISO -> 03 -> 03.180
,,,,ISO -> 03 -> 03.200
,,,,ISO -> 03 -> 03.220
,,,,ISO -> 03 -> 03.240
ISO -> 03 -> 03.020,03.020,Sociology. Demography,ISO -> 03,
ISO -> 03 -> 03.060,03.060,"Finances. Banking. Monetary systems. InsuranceIncluding personal financial planningInformation technology applications in banking, see35.240.40",ISO -> 03,
ISO -> 03 -> 03.080,03.080,"ServicesTransport, see03.220Postal services, see03.240",ISO -> 03,ISO -> 03 -> 03.080 -> 03.080.01
,,,,ISO -> 03 -> 03.080 -> 03.080.10
,,,,ISO -> 03 -> 03.080 -> 03.080.20
,,,,ISO -> 03 -> 03.080 -> 03.080.30
,,,,ISO -> 03 -> 03.080 -> 03.080.99
ISO -> 03 -> 03.080 -> 03.080.01,03.080.01,Services in general,ISO -> 03 -> 03.080,
ISO -> 03 -> 03.080 -> 03.080.10,03.080.10,"Maintenance services. Facilities managementIncluding cleaning and pest controlSterilization and desinfection in health care, see11.080",ISO -> 03 -> 03.080,
ISO -> 03 -> 03.080 -> 03.080.20,03.080.20,"Services for companiesIncluding publicity, advertising, professional services, recruitment services, management consultancy, outsourcing, etc.Outsourcing as part of a company organization, see03.100.01Staff training and staff certification, see03.100.30",ISO -> 03 -> 03.080,
ISO -> 03 -> 03.080 -> 03.080.30,03.080.30,"Services for consumersIncluding hotels, restaurants, washing, cleaning, removals, funerals, real estate, vehicle repair and servicing, furniture removals, services for elderly, sheltered housing services for elderly, sheltered housing, etc.Transport services and costs, see03.220Services for dementia care, assisted living, see11.020.10Consumer information, see97.020",ISO -> 03 -> 03.080,
ISO -> 03 -> 03.080 -> 03.080.99,03.080.99,Other services,ISO -> 03 -> 03.080,
ISO -> 03 -> 03.100,03.100,Company organization and management. Management systems,ISO -> 03,ISO -> 03 -> 03.100 -> 03.100.01
,,,,ISO -> 03 -> 03.100 -> 03.100.02
,,,,ISO -> 03 -> 03.100 -> 03.100.10
,,,,ISO -> 03 -> 03.100 -> 03.100.20
,,,,ISO -> 03 -> 03.100 -> 03.100.30
,,,,ISO -> 03 -> 03.100 -> 03.100.40
,,,,ISO -> 03 -> 03.100 -> 03.100.70
ISO -> 03 -> 03.100 -> 03.100.01,03.100.01,"Company organization and management in generalIncluding legal aspects and risk management, societal security, outsourcingOutsourcing as a business to business service, see03.080.20Management systems, see03.100.70Security and protection against crime, see13.310",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.100 -> 03.100.02,03.100.02,"Governance and ethicsIncluding anti-bribery, anti-procurement fraud, corporate social responsibility",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.100 -> 03.100.10,03.100.10,"Purchasing. Procurement. LogisticsIncluding asset management, supply chain, etc.",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.100 -> 03.100.20,03.100.20,"Trade. Commercial function. MarketingE-commerce, see35.240.60",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.100 -> 03.100.30,03.100.30,"Management of human resourcesIncluding staff training, staff responsibilities, staff qualifications and certificationWelders' qualifications, see25.160.01",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.100 -> 03.100.40,03.100.40,"Research and developmentIncluding project management, value analysis, etc.",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.100 -> 03.100.70,03.100.70,"Management systemsIncluding environmental management systems (EMS), road traffic management systems, energy management systems, health care management systems, etc.",ISO -> 03 -> 03.100,
ISO -> 03 -> 03.120,03.120,Quality,ISO -> 03,ISO -> 03 -> 03.120 -> 03.120.10
,,,,ISO -> 03 -> 03.120 -> 03.120.20
,,,,ISO -> 03 -> 03.120 -> 03.120.30
ISO -> 03 -> 03.120 -> 03.120.10,03.120.10,"Quality management and quality assuranceQuality management systems, see03.100.70",ISO -> 03 -> 03.120,
ISO -> 03 -> 03.120 -> 03.120.20,03.120.20,Product and company certification. Conformity assessmentIncluding laboratory accreditation and audit programmes and auditing,ISO -> 03 -> 03.120,
ISO -> 03 -> 03.120 -> 03.120.30,03.120.30,Application of statistical methods,ISO -> 03 -> 03.120,
ISO -> 03 -> 03.140,03.140,Patents. Intellectual property,ISO -> 03,
ISO -> 03 -> 03.160,03.160,"Law. AdministrationIncluding flags and associated symbols (emblems) of political and administrative entities, military flags, flags of organizations, etc.",ISO -> 03,
ISO -> 03 -> 03.180,03.180,"EducationE-learning, see35.240.90",ISO -> 03,
ISO -> 03 -> 03.200,03.200,"Leisure. TourismCamping equipment, see97.200.30",ISO -> 03,ISO -> 03 -> 03.200 -> 03.200.01
,,,,ISO -> 03 -> 03.200 -> 03.200.10
,,,,ISO -> 03 -> 03.200 -> 03.200.99
ISO -> 03 -> 03.200 -> 03.200.01,03.200.01,"Leisure and tourism in generalIncluding outdoor events management, tourist information offices, tourism services, hotels, etc.",ISO -> 03 -> 03.200,
ISO -> 03 -> 03.200 -> 03.200.10,03.200.10,Adventure tourism,ISO -> 03 -> 03.200,
ISO -> 03 -> 03.200 -> 03.200.99,03.200.99,Other standards relating to leisure and tourismIncluding recreational diving services,ISO -> 03 -> 03.200,
ISO -> 03 -> 03.220,03.220,"TransportTransport of dangerous goods, see13.300",ISO -> 03,ISO -> 03 -> 03.220 -> 03.220.01
,,,,ISO -> 03 -> 03.220 -> 03.220.20
,,,,ISO -> 03 -> 03.220 -> 03.220.30
,,,,ISO -> 03 -> 03.220 -> 03.220.40
ISO -> 03 -> 03.220 -> 03.220.01,03.220.01,Transport in general,ISO -> 03 -> 03.220,
ISO -> 03 -> 03.220 -> 03.220.20,03.220.20,"Road transportIncluding road transport servicesRoad traffic management system, see03.100.70Road traffic control equipment and installations, see93.080.30",ISO -> 03 -> 03.220,
ISO -> 03 -> 03.220 -> 03.220.30,03.220.30,"Transport by railIncluding rail transport servicesRail traffic control equipment and installations, see93.100",ISO -> 03 -> 03.220,
ISO -> 03 -> 03.220 -> 03.220.40,03.220.40,"Transport by waterIncluding water transport servicesWater transport control equipment and installations, see93.140",ISO -> 03 -> 03.220,
ISO -> 03 -> 03.240,03.240,"Postal servicesIncluding postal equipment, post-boxes and letter-boxes, etc.",ISO -> 03,
ISO -> 07,07,Natural and applied sciences,ISO,ISO -> 07 -> 07.030
,,,,ISO -> 07 -> 07.040
,,,,ISO -> 07 -> 07.060
,,,,ISO -> 07 -> 07.080
,,,,ISO -> 07 -> 07.100
,,,,ISO -> 07 -> 07.120
,,,,ISO -> 07 -> 07.140
ISO -> 07 -> 07.030,07.030,"Physics. ChemistryApplied physics, see17Chemical technology, see71",ISO -> 07,
ISO -> 07 -> 07.040,07.040,Astronomy. Geodesy. Geography,ISO -> 07,
ISO -> 07 -> 07.060,07.060,Geology. Meteorology. Hydrology,ISO -> 07,
ISO -> 07 -> 07.080,07.080,Biology. Botany. ZoologyIncluding biotechnology,ISO -> 07,
ISO -> 07 -> 07.100,07.100,Microbiology,ISO -> 07,ISO -> 07 -> 07.100 -> 07.100.01
,,,,ISO -> 07 -> 07.100 -> 07.100.10
,,,,ISO -> 07 -> 07.100 -> 07.100.20
,,,,ISO -> 07 -> 07.100 -> 07.100.30
,,,,ISO -> 07 -> 07.100 -> 07.100.40
,,,,ISO -> 07 -> 07.100 -> 07.100.99
ISO -> 07 -> 07.100 -> 07.100.01,07.100.01,Microbiology in general,ISO -> 07 -> 07.100,
ISO -> 07 -> 07.100 -> 07.100.10,07.100.10,"Medical microbiologyLaboratory medicine, see11.100",ISO -> 07 -> 07.100,
ISO -> 07 -> 07.100 -> 07.100.20,07.100.20,"Microbiology of waterExamination of biological properties of water, see13.060.70",ISO -> 07 -> 07.100,
ISO -> 07 -> 07.100 -> 07.100.30,07.100.30,"Food microbiologyIncluding microbiology of animal feeding stuffsAnimal feeding stuffs, see65.120General methods of tests and analysis for food products, see67.050",ISO -> 07 -> 07.100,
ISO -> 07 -> 07.100 -> 07.100.40,07.100.40,Cosmetics microbiology,ISO -> 07 -> 07.100,
ISO -> 07 -> 07.100 -> 07.100.99,07.100.99,Other standards related to microbiology,ISO -> 07 -> 07.100,
ISO -> 07 -> 07.120,07.120,Nanotechnologies,ISO -> 07,
ISO -> 07 -> 07.140,07.140,Forensic science,ISO -> 07,
ISO -> 11,11,Health care technology,ISO,ISO -> 11 -> 11.020
,,,,ISO -> 11 -> 11.040
,,,,ISO -> 11 -> 11.060
,,,,ISO -> 11 -> 11.080
,,,,ISO -> 11 -> 11.100
,,,,ISO -> 11 -> 11.120
,,,,ISO -> 11 -> 11.140
,,,,ISO -> 11 -> 11.160
,,,,ISO -> 11 -> 11.180
,,,,ISO -> 11 -> 11.200
ISO -> 11 -> 11.020,11.020,"Medical sciences and health care facilities in generalForensic science, see07.140",ISO -> 11,ISO -> 11 -> 11.020 -> 11.020.01
,,,,ISO -> 11 -> 11.020 -> 11.020.10
,,,,ISO -> 11 -> 11.020 -> 11.020.20
,,,,ISO -> 11 -> 11.020 -> 11.020.99
ISO -> 11 -> 11.020 -> 11.020.01,11.020.01,"Quality and environmental management in health careIncluding quality and environmental management in health care technologyHealth care management systems, see03.100.70IT applications in health care technology, see35.240.80",ISO -> 11 -> 11.020,
ISO -> 11 -> 11.020 -> 11.020.10,11.020.10,"Health care services in generalIncluding care homes, dementia care, assisted living, aesthetic surgery, chiropractic services, etc.",ISO -> 11 -> 11.020,
ISO -> 11 -> 11.020 -> 11.020.20,11.020.20,"Medical scienceIncluding regenerative medicine, cell therapy, stratified medicine",ISO -> 11 -> 11.020,
ISO -> 11 -> 11.020 -> 11.020.99,11.020.99,Other standards related to health care in general,ISO -> 11 -> 11.020,
ISO -> 11 -> 11.040,11.040,Medical equipment,ISO -> 11,ISO -> 11 -> 11.040 -> 11.040.01
,,,,ISO -> 11 -> 11.040 -> 11.040.10
,,,,ISO -> 11 -> 11.040 -> 11.040.20
,,,,ISO -> 11 -> 11.040 -> 11.040.25
,,,,ISO -> 11 -> 11.040 -> 11.040.30
,,,,ISO -> 11 -> 11.040 -> 11.040.40
,,,,ISO -> 11 -> 11.040 -> 11.040.50
,,,,ISO -> 11 -> 11.040 -> 11.040.55
,,,,ISO -> 11 -> 11.040 -> 11.040.60
,,,,ISO -> 11 -> 11.040 -> 11.040.70
,,,,ISO -> 11 -> 11.040 -> 11.040.99
ISO -> 11 -> 11.040 -> 11.040.01,11.040.01,Medical equipment in general,ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.10,11.040.10,"Anaesthetic, respiratory and reanimation equipmentIncluding medical gas installations",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.20,11.040.20,"Transfusion, infusion and injection equipmentIncluding blood packs and containers for transfusionSyringes, needles and catheters, see11.040.25",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.25,11.040.25,"Syringes, needles and catheters",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.30,11.040.30,"Surgical instruments and materialsIncluding surgical dressings, sutures, etc.",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.40,11.040.40,"Implants for surgery, prosthetics and orthoticsIncluding pacemakersOphthalmic implants, see11.040.70",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.50,11.040.50,"Radiographic equipmentIncluding radiographic diagnostic and therapy equipmentIn vitro diagnostic systems, see11.100.10Dental, medical and industrial radiographic films, see37.040.25",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.55,11.040.55,"Diagnostic equipmentIncluding medical monitoring equipment, medical thermometers and related materials",ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.60,11.040.60,Therapy equipment,ISO -> 11 -> 11.040,
ISO -> 11 -> 11.040 -> 11.040.70,11.040.70,"Ophthalmic equipmentIncluding ophthalmic implants, glasses, contact lenses and their cleaning products",ISO -> 11 -> 11.040,
